"","V1","V2","V3","V4","V5","V6"
"CBS",0.0746388315176293,8.27598263781585,-8.5418469788702,-0.0347239969498346,0.0277171510378903,4.99999999998425
"CCI",0.074638781206243,24.8043771886717,-25.0358828379772,-0.0347238617616249,0.0318299124338609,4.99999999999344
"CCL",0.0746388503037148,27.4744963205103,-27.600712438595,-0.0347249943536001,0.0583885711543404,4.99999856963795
"CELG",0.0746392552201282,29.6173655528969,-29.8192712620511,-0.0347259664694831,0.0364977398282595,4.99999999999632
"CERN",0.0746390738721396,28.9657267845572,-29.1269568761059,-0.034725221766496,0.0457028758784598,4.99999999507735
"CF",0.0745840435599226,29.9162244484736,-29.9998152752021,-0.0341741193311014,0.0979110477510973,4.99999999999466
"CFG",0.0746390194572201,7.51209819251129,-7.80580107343857,-0.0347248024630621,0.0250906298898104,4.99999999999027
"CHD",0.0746388012340741,29.5665125348248,-29.7652305287617,-0.0347239929432354,0.037081422273399,4.99999999997959
"CHK",0.0746433245677024,29.2736809260941,-29.3702731176133,-0.034745396213536,0.0763897577309912,4.99969845503204
"CHRW",0.0745826153869849,29.9163733057145,-29.9999560507739,-0.0341677186111679,0.0979118748256168,4.99999999997422
"CHTR",0.0746383994302421,23.3371067417823,-23.7831035523802,-0.0347217550890254,0.0165233320969409,4.9999999999746
"CI",0.0746388830832348,29.2053481787432,-29.4202950926002,-0.0347242598530177,0.0342827702386196,4.99999999993893
"CINF",0.0746386416588073,19.6018417376959,-19.9119422669763,-0.0347231579349482,0.0237628980413247,4.99999999998115
"CL",0.0746388502610825,18.6107105243473,-18.8489472455815,-0.034724232436026,0.0309302791610929,4.99999999999722
"CLX",0.0745824160623561,29.9162597751605,-29.999842590631,-0.0341666922914118,0.0979136655455379,4.99999999999684
"CMA",0.0746388683604591,29.2933266423324,-29.4617130594345,-0.0347240631001763,0.0437635277461519,4.99999999865002
"CMCSA",0.0746386731969944,28.837404169584,-29.0548953266285,-0.0347233246486203,0.0338812460004563,4.99999999998552
"CME",0.0746387886066197,5.12250227012796,-5.45863993296307,-0.0347238389501232,0.0219223011281596,4.99999999997583
